time,event_type,bound_before,bound_after,delta_bound,node_id
0.2557361125946045,cg_lp_improve,106.10333498430317,106.10333498430316,-1.4210854715202004e-14,0
0.3293497562408447,cg_lp_improve,106.10333498430316,104.10194316491808,-2.001391819385077,0
0.45916175842285156,cg_lp_improve,104.10194316491808,103.96217857113552,-0.13976459378255868,0
0.5548348426818848,cg_lp_improve,103.96217857113552,103.96217857113551,-1.4210854715202004e-14,0
0.7270419597625732,cg_lp_improve,103.96217857113551,102.66838689773098,-1.2937916734045274,0
1.1279008388519287,cg_lp_improve,102.66838689773098,100.75781297058721,-1.9105739271437727,0
1.4594581127166748,cg_lp_improve,100.75781297058721,99.44313986229997,-1.3146731082872378,0
2.9730491638183594,cg_lp_improve,99.44313986229997,98.56868529857631,-0.8744545637236598,0
7.5940611362457275,cg_lp_improve,98.56868529857631,98.54762379133619,-0.02106150724011968,0
8.47779893875122,cg_lp_improve,98.54762379133619,97.30438342495825,-1.2432403663779468,0
10.781793117523193,cg_lp_improve,97.30438342495825,97.06437621369463,-0.24000721126361668,0
12.086677074432373,cg_lp_improve,97.06437621369463,96.5297275403815,-0.5346486733131286,0
24.437525033950806,cg_lp_improve,96.5297275403815,94.38417371783997,-2.1455538225415296,0
27.769287824630737,cg_lp_improve,94.38417371783997,94.08303480951051,-0.3011389083294631,0
30.765578985214233,cg_lp_improve,94.08303480951051,93.81983490586224,-0.26319990364827106,0
33.44286108016968,cg_lp_improve,93.81983490586224,93.81983490586222,-1.4210854715202004e-14,0
39.66005611419678,cg_lp_improve,93.81983490586222,93.06446942275554,-0.7553654831066865,0
52.6102089881897,cg_lp_improve,93.06446942275554,90.98643711826139,-2.078032304494144,0
57.091118812561035,cg_lp_improve,90.98643711826139,90.61692796915506,-0.36950914910633514,0
60.39125609397888,cg_lp_improve,90.61692796915506,90.52889039096344,-0.08803757819161717,0
63.70265793800354,cg_lp_improve,90.52889039096344,87.8666916396159,-2.662198751347546,0
68.14451599121094,cg_lp_improve,87.8666916396159,87.80235420468395,-0.064337434931943,0
72.34143376350403,cg_lp_improve,87.80235420468395,87.77866383279238,-0.023690371891575523,0
80.91885995864868,cg_lp_improve,87.77866383279238,86.39625743258708,-1.3824064002052978,0
86.92833518981934,cg_lp_improve,86.39625743258708,86.2346704886405,-0.16158694394657402,0
104.37191987037659,cg_lp_improve,86.2346704886405,86.2155900219226,-0.019080466717909417,0
